iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k
AUS,Australia,2019-12-31,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-01,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-02,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-03,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-04,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-05,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-06,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-07,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-08,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-09,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-10,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-11,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-12,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-13,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-14,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-15,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-16,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-17,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-18,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-19,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-20,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-21,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-22,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-23,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-24,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,0.0,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-25,1,1,0,0,0.039,0.039,0.0,0.0,,,,,,,,8.33,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-26,4,3,0,0,0.157,0.11800000000000001,0.0,0.0,,,,,,,,8.33,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-27,4,0,0,0,0.157,0.0,0.0,0.0,,,,,,,,8.33,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-28,4,0,0,0,0.157,0.0,0.0,0.0,,,,,,,,8.33,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-29,4,0,0,0,0.157,0.0,0.0,0.0,,,,,,,,8.33,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUS,Australia,2020-01-30,6,2,0,0,0.235,0.078,0.0,0.0,,,,,,,,8.33,25499881.0,3.202,37.9,15.504000000000001,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
